location,connectivity_score,school_score,metro_score,hospital_score,demand_score
Whitefield,8.8,7.8,8.5,8.0,8.7
BTM,8.6,8.0,8.7,8.5,8.5
HSR Layout,8.8,8.7,8.6,8.4,8.8
Electronic City,8.0,7.5,7.5,7.8,8.0
Sarjapur Road,7.8,7.7,7.2,7.5,8.2
Koramangala,9.0,8.8,8.8,8.7,9.0
Indiranagar,9.1,8.7,9.2,8.8,9.1
Jayanagar,8.7,8.9,8.5,8.7,8.6
Marathahalli,8.5,7.5,8.0,7.8,8.5
Hebbal,8.3,8.2,8.1,8.3,8.4
Yelahanka,7.8,8.0,7.5,7.8,8.0
Rajajinagar,8.7,8.5,8.5,8.5,8.5
Banashankari,8.4,8.7,8.0,8.4,8.3
JP Nagar,8.5,8.6,8.2,8.4,8.5
Bannerghatta Road,8.0,7.8,7.5,8.0,8.1
Kengeri,7.2,7.5,6.8,7.4,7.4
